CONVERSATION ID,CONVERSATION TITLE,FROM,SENDER PROFILE URL,TO,RECIPIENT PROFILE URLS,DATE,SUBJECT,CONTENT,FOLDER
2-N2I1MzRlNjYtM2U4NC00NzFkLThlOWEtMTM4N2ZhZmM1MDg1XzEwMA==,,usama zeeshan,https://www.linkedin.com/in/usama-zeeshan-24a209138,Peter Swimm,https://www.linkedin.com/in/peterswimm,2025-07-17 18:05:13 UTC,,"Hi Peter I visited your website (itstoilville) and noticed a few small issues  like misalignment and layout inconsistencies that affect the flow and user experience.  If you'd like, I’d be happy to do a quick audit and share suggestions to make it cleaner, more structured, and aligned with your brand. Let me know if you're open to that!",INBOX
2-N2I1MzRlNjYtM2U4NC00NzFkLThlOWEtMTM4N2ZhZmM1MDg1XzEwMA==,,usama zeeshan,https://www.linkedin.com/in/usama-zeeshan-24a209138,Peter Swimm,https://www.linkedin.com/in/peterswimm,2025-07-04 13:10:46 UTC,,"Hey Peter, Really impressed by what you're building at Toilville , transforming companies into conversational AI powerhouses is the future, and you're clearly ahead of the curve.  I am from Inartia, we help teams like yours cut development costs by up to 40% with fast, flexible remote dev teams , ideal for building, scaling, or iterating on AI-driven products. We’ve supported AI startups with full-stack devs, UI/UX, and rapid MVP builds — often in under 30 days.  Open to a quick 15-min call anytime this week or next?  Best, Usama Zeeshan 📧 usama.zeeshan@inartia.io 🌐 inartia.io/projects",INBOX
2-NDNiMzUxZTMtMDY3MC00NDQyLTllYzMtNzU4Y2EzMGM3NzQyXzEwMA==,,Hamza Jahangir,https://www.linkedin.com/in/n8nautomationhamza-jahangir-6036a4290,Peter Swimm,https://www.linkedin.com/in/peterswimm,2025-07-17 16:55:54 UTC,,"Hi Peter,  Nice to connect! I have 7 years of experience in AI Automation with a strong focus on Conversational AI and LLMs to create meaningful business solutions.   I’m currently exploring remote opportunities and wanted to ask if there might be any openings at Toilville where my background in product management and AI could be a good fit. I’d love to chat about how I could support your team’s goals.  Best regards, Hamza",INBOX
2-MzlhMDdjMzMtNTM1ZS00YmZiLThkZmQtYjIyNjlhNWQ4MzJjXzEwMA==,,Lance Cottrell,https://www.linkedin.com/in/lancecottrell,Peter Swimm,https://www.linkedin.com/in/peterswimm,2025-07-17 01:22:11 UTC,,"Hey Peter,  Are you preparing to raise capital?  On Wednesday, July 23rd, I’m running a private 90-minute live Zoom workshop for my premium clients: Raise $1 M in 90 Days with The Funded Founder Framework™.  I’ve set aside a few seats at a guest rate.  I've used this framework to help over 1200 founders raise their pre-seed rounds.  This hands-on workshop guides you through the entire process, from validation to pitch development and negotiation with investors.  Interested? Just reply “yes” and I’ll send the details and guest rate.",INBOX
2-MzlhMDdjMzMtNTM1ZS00YmZiLThkZmQtYjIyNjlhNWQ4MzJjXzEwMA==,,Lance Cottrell,https://www.linkedin.com/in/lancecottrell,Peter Swimm,https://www.linkedin.com/in/peterswimm,2025-06-01 20:28:33 UTC,,"Hi Peter,  Are you gearing up to raise capital?  Thursday (June 5th @ 10 AM PDT), I’m running a private 90-minute live Zoom workshop for my premium clients: Deal Terms That Make or Break You: Negotiate Smart, Protect Equity, and Avoid Regret.  I’ve set aside a few seats at a guest rate.  Just because you got a “yes” doesn’t mean you should take the deal. Bad terms or an inappropriate valuation (even too high) can doom your company.  Interested? Just reply “yes” and I’ll send the details and guest rate.",INBOX
2-MzlhMDdjMzMtNTM1ZS00YmZiLThkZmQtYjIyNjlhNWQ4MzJjXzEwMA==,,Lance Cottrell,https://www.linkedin.com/in/lancecottrell,Peter Swimm,https://www.linkedin.com/in/peterswimm,2025-03-13 02:08:22 UTC,,"Hey, Peter! I was thinking about how startups can demonstrate traction and maturity. I remembered this article from NFX, which does a great job capturing it. I thought you might enjoy it. https://www.nfx.com/post/ladder-of-proof",INBOX
2-MzlhMDdjMzMtNTM1ZS00YmZiLThkZmQtYjIyNjlhNWQ4MzJjXzEwMA==,,Peter Swimm,https://www.linkedin.com/in/peterswimm,Lance Cottrell,https://www.linkedin.com/in/lancecottrell,2025-02-23 03:21:47 UTC,,"Likewise, Lance",INBOX
2-MzlhMDdjMzMtNTM1ZS00YmZiLThkZmQtYjIyNjlhNWQ4MzJjXzEwMA==,,Lance Cottrell,https://www.linkedin.com/in/lancecottrell,Peter Swimm,https://www.linkedin.com/in/peterswimm,2025-02-23 01:55:16 UTC,,Hi Peter! It's a pleasure to connect. I look forward to following you on LinkedIn!,INBOX
2-ZGQyYTMwNTktM2ZhMS00ODAxLWI2YTctMGJhN2MxODA0ZDRkXzEwMA==,,Jeanne Millet,https://www.linkedin.com/in/jeanne-millet-81ab0b358,Peter Swimm,https://www.linkedin.com/in/peterswimm,2025-07-16 17:27:20 UTC,,"Love your brand, Peter 🙂  We’ve generated millions of traffic and sales for Cox, Rancho La Gloria, and Mares Mortgage-we can do the same for you. Want us to make your business go viral within 90 days-Guaranteed & For Free? If yes, book here: https://calendly.com/mktg-guides/blueprint  ",INBOX
2-ZWVjMmRkNTAtMTQzYy00MmU2LWE4MzYtZDZjMmQ2YzYyZTJlXzEwMA==,,manya singh,https://www.linkedin.com/in/manya-singh-a7324a246,Peter Swimm,https://www.linkedin.com/in/peterswimm,2025-07-16 16:27:06 UTC,,"Hi Peter,  Just following up on my earlier message to see if there’s any scope for collaboration at your end.  We’d be happy to support you with any software development needs or provide dedicated developers across various tech stacks.  Let me know if you’d be open to a quick conversation.  Best regards, Manya https://www.qsstechnosoft.com/portfolio",INBOX
2-ZWVjMmRkNTAtMTQzYy00MmU2LWE4MzYtZDZjMmQ2YzYyZTJlXzEwMA==,,manya singh,https://www.linkedin.com/in/manya-singh-a7324a246,Peter Swimm,https://www.linkedin.com/in/peterswimm,2025-06-30 17:38:37 UTC,,"Hi Peter,  Hope you had an amazing weekend!  Just wanted to quickly follow up on my previous message. We're a 250+ team providing customized web & mobile app development, as well as dedicated developers in technologies like Java, .NET, React, Node, Flutter, Python, and more.  We also deliver in cutting-edge spaces such as AI/ML, Gen AI, Healthcare, Blockchain, and IoT. Here's a quick glimpse of our recent work: https://www.qsstechnosoft.com/portfolio  Would you be open to a quick meeting sometime this week to discuss potential collaboration?  Best, Manya",INBOX
2-ZWVjMmRkNTAtMTQzYy00MmU2LWE4MzYtZDZjMmQ2YzYyZTJlXzEwMA==,,manya singh,https://www.linkedin.com/in/manya-singh-a7324a246,Peter Swimm,https://www.linkedin.com/in/peterswimm,2025-06-16 09:46:31 UTC,,"Hi Peter,  Hope you are doing well.  I wanted to quickly follow up on my previous message regarding a potential collaboration between us. At QSS Technosoft, we’re always excited to connect with like-minded professionals working in similar technology spaces to explore ways we can complement each other's strengths.  If there's a convenient time for a quick call or if you’d like more information about our capabilities, I’d be happy to share details or set something up.  Looking forward to hearing your thoughts!  Thanks Manya https://www.qsstechnosoft.com/portfolio/",INBOX
2-ZWVjMmRkNTAtMTQzYy00MmU2LWE4MzYtZDZjMmQ2YzYyZTJlXzEwMA==,,manya singh,https://www.linkedin.com/in/manya-singh-a7324a246,Peter Swimm,https://www.linkedin.com/in/peterswimm,2025-05-02 11:49:54 UTC,Software Development Partner,"Hi Peter,  Hope you are doing well.  I wanted to reach out and explore if there could be some opportunity for collaboration.  To give you brief information about us, we’re a software development company with teams in both India and the US. We help our clients build custom web and mobile apps, and have a strong team of 250+ experienced developers working across technologies like Java, C#/.NET, Golang, Python, Angular, Node.js, ReactJS, Xamarin, ReactNative, Ionic, Phonegap, Flutter, etc.  We also offer end-to-end development services in areas like Healthcare, Blockchain, Fintech, Chatbot, GIS, IoT, Gen AI, and AI/ML — offering everything from UI/UX to QA, and end-to-end product development. You can review our recent portfolios here: https://www.qsstechnosoft.com/portfolio  Let me know if we can help you with any of your software development or dedicated developers requirements.   Looking forward to hearing from you.   Thanks Manya www.qsstechnosoft.com",INBOX
2-MGJiMzZlOTYtZGQyMy00MTRiLTg5YjMtZDIwOTFkN2I3NzYzXzEwMA==,,Peter Swimm,https://www.linkedin.com/in/peterswimm,"Praveen Seshadri,Matthew Hurst","https://www.linkedin.com/in/praveenseshadri,https://www.linkedin.com/in/matthewfhurst",2025-07-16 03:36:27 UTC,,or use it as a guide for sending me a invite to: peter@itstoilville.com ,INBOX
2-MGJiMzZlOTYtZGQyMy00MTRiLTg5YjMtZDIwOTFkN2I3NzYzXzEwMA==,,Peter Swimm,https://www.linkedin.com/in/peterswimm,"Praveen Seshadri,Matthew Hurst","https://www.linkedin.com/in/praveenseshadri,https://www.linkedin.com/in/matthewfhurst",2025-07-16 03:35:29 UTC,,sure you can book directly here https://www.itstoilville.com/contact/peter/,INBOX
2-MGJiMzZlOTYtZGQyMy00MTRiLTg5YjMtZDIwOTFkN2I3NzYzXzEwMA==,,Praveen Seshadri,https://www.linkedin.com/in/praveenseshadri,"Peter Swimm,Matthew Hurst","https://www.linkedin.com/in/peterswimm,https://www.linkedin.com/in/matthewfhurst",2025-07-16 03:29:56 UTC,,"Hi Peter, sorry for the delay. Very good to meet you. Yes, would love to chat. My email is praveen@thunkai.com Could you suggest a couple of times that might work for you? Thanks",INBOX
2-MGJiMzZlOTYtZGQyMy00MTRiLTg5YjMtZDIwOTFkN2I3NzYzXzEwMA==,,Peter Swimm,https://www.linkedin.com/in/peterswimm,"Praveen Seshadri,Matthew Hurst","https://www.linkedin.com/in/praveenseshadri,https://www.linkedin.com/in/matthewfhurst",2025-07-11 15:07:23 UTC,,"Congratulations on the new role, Matt! It's great to meet you as well, Praveen. Let me know if you're interested in chatting!",INBOX
2-MGJiMzZlOTYtZGQyMy00MTRiLTg5YjMtZDIwOTFkN2I3NzYzXzEwMA==,,Matthew Hurst,https://www.linkedin.com/in/matthewfhurst,"Praveen Seshadri,Peter Swimm","https://www.linkedin.com/in/praveenseshadri,https://www.linkedin.com/in/peterswimm",2025-07-11 04:44:49 UTC,,"Hi Peter,  I want to introduce you to Praveen Seshadri. I will be starting next week at the agentic startup that Praveen has been CEO of since founding it in 2023 - Thunk.Ai.   Praveen - Peter was a colleague back at Microsoft when we were both working on various manifestations of conversational language products ultimately in the form of the modern LLM/AI/Agent paradigm. He's since been working as a consultant / thought leader through his https://www.itstoilville.com/ site and on LinkedIn.  I thought it would be good to connect you.  Regards,  Matt",INBOX
2-NTk2ZTNiMWUtY2M5Yi00NTk1LWI0NmItMzk2NGMxMjJkOTRmXzEwMA==,Hiring: AI Engineer (LLM / RAG) | Remote | Contract,Manish Kumar,https://www.linkedin.com/in/manishtechie14,Peter Swimm,https://www.linkedin.com/in/peterswimm,2025-07-15 17:44:25 UTC,Hiring: AI Engineer (LLM / RAG) | Remote | Contract,"🚀 We're Hiring: AI Engineer (LLM / RAG) | Remote | Contract Are you passionate about the future of AI? We're looking for talented engineers with hands-on experience in Large Language Models (LLMs), Prompt Engineering, and Retrieval-Augmented Generation (RAG) to join our dynamic team immediately. 🎯 Key Skills Required:  • LLMs (Large Language Models)  • Prompt Engineering  • RAG (Retrieval-Augmented Generation)  • Strong AI/ML foundation  • ServiceNow experience is a plus! 📍 Location: Remote  📄 Type: Contract This is a fantastic opportunity to work on transformative AI solutions. If interested please share your updated resume at vikask@nextgenprosinc.com or call me at ph#510-529-7765.  Manish Kumar Manager - Recruitment and staffing at Nextgenpros Inc",INBOX
2-NGVkYTY3YmQtZjBmNi00NmUyLWFhNTEtMDdlMDE0NmVkNDk2XzEwMA==,,Joseph McGrail,https://www.linkedin.com/in/jmcgrail,Peter Swimm,https://www.linkedin.com/in/peterswimm,2025-07-15 17:24:54 UTC,,"Hi Pete.  I’m hosting a 30-minute live webinar session for founders and GTM leaders on Wednesday, August 6th at 12pm EST who want to stop guessing and start validating their go-to-market strategy with real prospects.  Most early traction comes from warm intros or friendly networks. But that’s not true validation.  The real test is selling to strangers who don’t know you, don’t owe you, and aren’t rooting for you.  This session will cover how to:  1. Structure real GTM validation (not just pitch it) 2. Refine your value prop, messaging, and positioning with market feedback 3. Build a scalable system that connects strategy, execution, and pipeline 4. Use lean demand gen and content to create traction (with a small team)  Here’s the link to join me live:  https://www.linkedin.com/events/whystrangersholdthekeytostartup7350875048431214592/theater/  I hope you can make it. It should be a strong session.  Joe",INBOX
2-NzVjYjIwOTMtOWE4ZS00NzE4LTg1ZmYtZmM2OTM1ZDljZjc5XzEwMA==,,Ashish Mehta,https://www.linkedin.com/in/mehtaashish999,Peter Swimm,https://www.linkedin.com/in/peterswimm,2025-07-14 23:45:56 UTC,,Hey Peter ! Thanks for connecting!  Wondering how you are managing the finances at Toilville?  Let me know if you are looking for the above services at the moment.,INBOX
2-NzVjYjIwOTMtOWE4ZS00NzE4LTg1ZmYtZmM2OTM1ZDljZjc5XzEwMA==,,Ashish Mehta,https://www.linkedin.com/in/mehtaashish999,Peter Swimm,https://www.linkedin.com/in/peterswimm,2025-07-14 22:25:06 UTC,,"Hi Peter,  We are experts in bookkeeping & fractional CFO services. Also, if you haven't filed for your US taxes yet and took an extension, we can help you optimize and file to get maximum savings!  How are you handling your finances? I'd love to show how we work:)  Ashish, Partner, Sage",INBOX
2-NTFmNGExZmMtYzJiOS00MjdhLWExNTYtOTMxMGJjZjU0OGYyXzEwMA==,,Pushpesh Prashant (He/Him),https://www.linkedin.com/in/pushpesh-prashant-he-him-473193186,Peter Swimm,https://www.linkedin.com/in/peterswimm,2025-07-14 16:02:23 UTC,We want to book B2B Appointments with your desired ideal customer CXOs for your company!,"Peter , What if you could get in a room with decision-makers — and do it with a guaranteed outcome at just $99/Qualified Meeting?  At MillionCXO, we help tech founders like you:  *Book guaranteed 1-on-1 meetings with CXOs of your ideal accounts  *Without using your brand, tools, or email  *At a price as low as $99 per qualified meeting  *No Show = No charge   We use our own SDRs, prospecting systems, and data tools to deliver qualified, attended meetings — so you can focus on closing, not chasing.  We also provide you with the visibility of our process of how the meetings are booked to maintain transparency and make sure that the meetings booked are actually real meetings.  Best part? We don’t charge anything unless the meetings are actually conducted!  Would it make sense to show you how this could bring your next big deal in the door?  Can we connect next Wednesday at 3 PM EST for a quick 20-min walkthrough? (If that doesn’t work, happy to find a better time.)  Best,   Pushpesh Prashant (He/Him)",INBOX
2-YjFhODIyZDYtYTg1Ni00NDk4LTkzZWItODZkMGYwM2ZkZGVhXzEwMA==,Open to New Opportunities?,Jess Walsh,https://www.linkedin.com/in/jess-walsh-8a9669365,Peter Swimm,https://www.linkedin.com/in/peterswimm,2025-07-11 11:45:29 UTC,Open to New Opportunities?,"Hi Peter,  I’m reaching out on behalf of a client that specializes in helping professionals in the Seattle area explore exciting opportunities to create additional income streams, and in some cases, replace an existing income.  With access to over 500 franchises, they provide valuable insights into franchising and help identify low-cost opportunities with high ROI potential.  To explore the best performing franchises in your area, please find time on their calendar for a 15-min call: https://calendly.com/fran_list/15min [https://calendly.com/fran_list/15min]  Think of this as a 'window shopping' opportunity for franchises—no pressure, no obligation, just a chance to see what’s available and explore franchises with proven business models.  Jess Walsh Talent Acquisition Specialist at TalentCore LLC",INBOX
2-OTA0ZTcxOTMtOGUyYi00ZDMwLTk5YjYtYjNiNjZlMDJiN2UwXzEwMA==,,Kathy S,https://www.linkedin.com/in/kathy-s-0974ba23a,Peter Swimm,https://www.linkedin.com/in/peterswimm,2025-07-10 19:32:55 UTC,Software Development Partner,"Hi Peter,  Hope you are doing well.  I wanted to reach out and explore if there could be some opportunity for collaboration.  To give you brief information about us, we’re a software development company with teams in both India and the US. We help our clients build custom web and mobile apps, and have a strong team of 250+ experienced developers working across technologies like PHP, Java, C#/.NET, Golang, Python, Angular, Node.js, ReactJS, Xamarin, ReactNative, Ionic, Phonegap, Flutter, etc.  We also offer end-to-end development services in areas like Healthcare, Blockchain, Fintech, Chatbot, GIS, IoT, Gen AI, and AI/ML — offering everything from UI/UX to QA, and end-to-end product development. You can review our recent portfolios here: https://www.qsstechnosoft.com/portfolio  Let me know if we can help you with any of your software development or dedicated developers requirements.   Looking forward to hearing from you.  Thanks Kathy www.qsstechnosoft.com",INBOX
2-N2Y0NWMxMzktNzc0Zi00MWM1LThhZTctNDA0OTA2NmUyMjQwXzEwMA==,,Jagan Mohan Reddy G,https://www.linkedin.com/in/jagan-mohan-reddy-g-727753200,Peter Swimm,https://www.linkedin.com/in/peterswimm,2025-07-10 17:52:12 UTC,,"Hi Peter, I’m Josh from ITExpert.us. We help conversational AI firms like Toilville grow faster with B2B lead gen, CRM-integrated outreach & appointment setting. Let’s connect and explore how we can support your client acquisition.",INBOX
2-ZjVkMGM0YTAtN2RhZC00ZjA3LTkwNWYtMjBjOWIyMzA5ZDgxXzEwMA==,,Andre de la Cruz,https://www.linkedin.com/in/andrejdc,Peter Swimm,https://www.linkedin.com/in/peterswimm,2025-07-10 17:49:51 UTC,,"Peter,   Just wanted to circle back in case this got buried, I know your plate’s probably full.  If design direction or resourcing is a challenge you’re facing, we’ve seen some patterns in how founder-led teams are solving this. Happy to share what’s working for others, if that’s helpful.",INBOX
2-ZjVkMGM0YTAtN2RhZC00ZjA3LTkwNWYtMjBjOWIyMzA5ZDgxXzEwMA==,,Andre de la Cruz,https://www.linkedin.com/in/andrejdc,Peter Swimm,https://www.linkedin.com/in/peterswimm,2025-07-05 16:32:22 UTC,,"Hi Peter - good to connect! I work with founders who face ever-changing design needs as their company grows.   During my time leading teams at startups, constant change made it hard to staff suddenly pressing projects with the most effective team. I started Rally to give founders an adaptive, long-term design partner.   If this resonates, are you open to an intro conversation? I’m happy to share what we’re seeing at similar stage companies we partner with. ",INBOX
2-YzVmNDMwYjMtYjBmNS00ZTk1LWI4MjYtYjkzYzU4ZGZkNWNiXzEwMA==,,manya singh,https://www.linkedin.com/in/manya-singh-a7324a246,Peter Swimm,https://www.linkedin.com/in/peterswimm,2025-07-10 17:41:38 UTC,,"Hi Peter,  Just following up on my earlier message to see if there’s any scope for collaboration at your end.  We’d be happy to support you with any software development needs or provide dedicated developers across various tech stacks.  Let me know if you’d be open to a quick conversation.  Best regards, Manya https://www.qsstechnosoft.com/portfolio",INBOX
2-YzVmNDMwYjMtYjBmNS00ZTk1LWI4MjYtYjkzYzU4ZGZkNWNiXzEwMA==,,manya singh,https://www.linkedin.com/in/manya-singh-a7324a246,Peter Swimm,https://www.linkedin.com/in/peterswimm,2025-06-24 14:47:59 UTC,,"Hi Peter,  Hope you had an amazing weekend!  Just wanted to quickly follow up on my previous message. We're a 250+ team providing customized web & mobile app development, as well as dedicated developers in technologies like Java, .NET, React, Node, Flutter, Python, and more.  We also deliver in cutting-edge spaces such as AI/ML, Gen AI, Healthcare, Blockchain, and IoT. Here's a quick glimpse of our recent work: https://www.qsstechnosoft.com/portfolio  Would you be open to a quick meeting sometime this week to discuss potential collaboration?  Best, Manya",INBOX
2-YzVmNDMwYjMtYjBmNS00ZTk1LWI4MjYtYjkzYzU4ZGZkNWNiXzEwMA==,,manya singh,https://www.linkedin.com/in/manya-singh-a7324a246,Peter Swimm,https://www.linkedin.com/in/peterswimm,2025-06-13 05:56:39 UTC,,"Hi Peter,  Hope you're doing great.  Just wanted to check in again to see if there’s any current or upcoming need where we could support you — whether it’s web/mobile app development, scaling your tech team, or ongoing maintenance.  We have 250+ skilled developers across key technologies (Java, .NET, React, Flutter, AI/ML, etc.) and offer flexible, cost-effective engagement models — perfect for quick turnarounds or long-term support.  Would you be open to a quick 10-min chat next week to explore how we can help?  Best regards, Manya https://www.qsstechnosoft.com/portfolio",INBOX
